#TAG;MARK;NAME;DESCRIPTION;CATEGORY;SECTION;NOTE
;rice;acpi;displays information on ACPI devices;;utils;
;rice;acpi-support;scripts for handling many ACPI events;;admin;XF86AudioMicMute
;;alsamixer;graphical soundcard mixer for ALSA soundcard driver;;sound;
;;apt;commandline package manager;package manager;admin;
;;aptitude;terminal-based package manager;package manager;admin;
;;aspell;GNU Aspell spell-checker;;text;
;rice;atool;tool for managing file archives of various types;;utils;
;rice;bash-completion;programmable completion for the bash shell;;shells;
;rice;bc;GNU bc arbitrary precision calculator language;;math;
;;bleachbit;delete unnecessary files from the system;;admin;
;rice;blueman;Graphical bluetooth manager;;x11;
;;bmon;portable bandwidth monitor and rate estimator;;net;
;;bspwm;Binary space partitioning window manager;;x11;https://github.com/baskerville/bspwm
p;;calcurse;text-based calendar and todo manager;;utils;
;;calibre;powerful and easy to use e-book manager;;text;
;;chromium;web browser;web browser;;
;rice;compton;compositor for X11, based on xcompmgr;;x11;
;rice;compton-conf;Compton Configurator for Qt;;x11;
;;curlftpfs;filesystem to access FTP hosts based on FUSE and cURL;;utils;
;;deluge;bittorrent client written in Python/PyGTK;;net;
;rice;dialog;dialog --common-options --yesno text height width;;misc;
;;dmidecode;SMBIOS/DMI table decoder;;utils;
;rice;dosfstools;utilities for making and checking MS-DOS FAT filesystems;;otherosfs;
;rice;dunst;dmenu-ish notification-daemon;;x11;
;rice;dwm;dynamic window manager;WM window manager;x11;https://suckless.org/
;rice;exfat-utils;utilities to create, check, label and dump exFAT filesystem;;otherosfs;
;rice;fd-find;Simple, fast and user-friendly alternative to find;;utils;necessary package for fzf (check FZF_DEFAULT_COMMAND, FZF_CTRL_T_COMMAND envs)
;rice;ffmpeg;Tools for transcoding, streaming and playing of multimedia files;;video;
;;file-roller;archive manager for GNOME;;gnome;
;rice;font-manager;font management application for the GNOME desktop;font manager;graphics;
;rice;fonts-iosevka;;;fonts;https://www.google.com/search?q=iosevka+font&oq=iosevka&aqs=chrome.0.69i59l3j69i57.1869j0j7&sourceid=chrome&ie=UTF-8
;rice;fonts-liberation;Fonts with the same metrics as Times, Arial and Courier;fonts;fonts;
;rice;fonts-powerline;prompt and statusline utility (symbols font);;fonts;
;rice;fzf;general-purpose command-line fuzzy finder;;utils;
;;gawk;GNU awk, a pattern scanning and processing language;;interpreters;
;;gddrescue;GNU data recovery tool;;utils;
;;ghostwriter;Distraction-free, themeable Markdown editor;;editors;
;rice;gimp;GNU Image Manipulation Program;image editor;graphics;
;;gnome-disk-utility;manage and configure disk drives and media;;admin;
;;gparted;GNOME partition editor;;gnome;
;;gpg;GNU Privacy Guard -- minimalist public key operations;;utils;
;;grep;GNU grep, egrep and fgrep;;utils;
;;gufw;graphical user interface for ufw;;admin;
;rice;highlight;Universal source code to formatted text converter;;devel;
;;htop;interactive processes viewer;;utils;
;;iceweasel;Web browser based on Firefox - Transitional package;web browser;;
;;iftop;displays bandwidth usage information on an network interface;;net;
;;imwheel;program to support non-standard buttons on mice in Linux;;X11;
;;inxi;full featured system information script;;misc;
;;iptraf-ng;Next Generation Interactive Colorful IP LAN Monitor;;net;
p;;jitsi-meet;WebRTC JavaScript video conferences;;;https://meet.jit.si
;rice;joypixels-android.ttf;version 5.0, unicode 12.0 for emoji coverage;;fonts;check Emoji coverage surf https://getemoji.com
